dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
ACSF1,0.878,0.01032796,16.88,16.21
AllGestureWiimoteX,0.76185714,0.00323319,52.12,8.53
AllGestureWiimoteY,0.76171429,0.01728512,50.64,18.43
AllGestureWiimoteZ,0.74914286,0.00495787,47.86,9.37
BME,1.0,0.0,1.27,2.61
Chinatown,0.98017493,0.00122926,0.91,1.61
Crop,0.75020833,0.00153106,184.75,89.49
DodgerLoopDay,0.57625,0.01811422,3.61,2.65
DodgerLoopGame,0.87246377,0.01090975,1.56,4.23
DodgerLoopWeekend,0.97246377,0.00571602,1.57,4.32
EOGHorizontalSignal,0.64088398,0.00664006,45.04,42.58
EOGVerticalSignal,0.54226519,0.00930429,49.63,47.86
EthanolLevel,0.582,0.00816497,85.96,82.35
FreezerRegularTrain,0.99757895,0.0002589,6.37,93.86
FreezerSmallTrain,0.95192982,0.00676141,1.78,81.25
Fungi,1.0,0.0,1.49,4.23
GestureMidAirD1,0.80615385,0.00324336,36.1,2.73
GestureMidAirD2,0.68307692,0.00486504,43.07,2.55
GestureMidAirD3,0.57846154,0.00606777,40.94,2.52
GesturePebbleZ1,0.96627907,0.03486218,24.43,6.98
GesturePebbleZ2,0.89113924,0.00833267,34.32,7.44
GunPointAgeSpan,0.99683544,0.0,3.57,5.84
GunPointMaleVersusFemale,0.99778481,0.00152863,3.37,5.13
GunPointOldVersusYoung,0.99047619,0.00334633,3.49,5.69
HouseTwenty,0.96386555,0.00405921,8.46,22.64
InsectEPGRegularTrain,0.99959839,0.00126999,4.81,16.06
InsectEPGSmallTrain,0.9815261,0.00431714,2.03,14.69
MelbournePedestrian,0.90348503,0.00293248,12.35,9.77
MixedShapesRegularTrain,0.97043299,0.00091282,51.32,231.02
MixedShapesSmallTrain,0.93863918,0.00169245,10.94,231.58
PLAID,0.88957169,0.00393076,153.68,18.24
PickupGestureWiimoteZ,0.81,0.02160247,10.7,1.45
PigAirwayPressure,0.08846154,0.00336157,20.69,38.93
PigArtPressure,0.95288462,0.00379236,21.02,39.22
PigCVP,0.93269231,0.00392546,23.87,45.71
PowerCons,0.93111111,0.00702728,3.99,2.7
Rock,0.898,0.00632456,6.34,13.73
SemgHandGenderCh2,0.923,0.00581611,48.64,94.84
SemgHandMovementCh2,0.64444444,0.00863845,67.39,63.63
SemgHandSubjectCh2,0.88355556,0.00603601,65.53,62.78
ShakeGestureWiimoteZ,0.892,0.01032796,10.86,1.16
SmoothSubspace,0.97933333,0.00210819,1.97,0.89
UMD,0.99236111,0.00219603,1.29,2.61
