k,num_training_examples,accuracy,time_training_seconds
100,256,0.48535156,0.19
100,512,0.59082031,0.18
100,1024,0.59472656,0.23
100,2048,0.61767578,0.27
100,4096,0.62451172,0.38
100,8192,0.62255859,0.51
100,16384,0.63085938,1.03
100,32768,0.63720703,1.47
100,65536,0.64404297,2.7
100,131072,0.65478516,5.52
100,262144,0.64892578,10.23
100,524288,0.65917969,21.6
100,1048576,0.65869141,44.12
1000,256,0.52050781,1.0
1000,512,0.61425781,1.16
1000,1024,0.625,1.61
1000,2048,0.63574219,2.11
1000,4096,0.63818359,3.13
1000,8192,0.63574219,4.57
1000,16384,0.65429688,7.09
1000,32768,0.65625,12.38
1000,65536,0.67724609,25.56
1000,131072,0.66601562,48.68
1000,262144,0.66894531,97.32
1000,524288,0.68798828,192.23
1000,1048576,0.68847656,388.11
10000,256,0.51806641,9.69
10000,512,0.61425781,13.27
10000,1024,0.63671875,13.93
10000,2048,0.64550781,20.34
10000,4096,0.64599609,28.49
10000,8192,0.65380859,46.09
10000,16384,0.65966797,70.33
10000,32768,0.66259766,129.84
10000,65536,0.671875,247.44
10000,131072,0.68798828,485.61
10000,262144,0.68066406,963.27
10000,524288,0.69873047,1913.02
10000,1048576,0.69775391,3747.16
