dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
ACSF1,0.886,0.01074968,14.93,13.9
Adiac,0.78337596,0.00615348,9.13,7.07
AllGestureWiimoteX,0.79,0.00466569,15.84,32.85
AllGestureWiimoteY,0.77271429,0.00400963,15.76,32.72
AllGestureWiimoteZ,0.76614286,0.0049966,15.67,32.36
ArrowHead,0.81428571,0.00942809,1.58,4.48
BME,1.0,0.0,1.34,2.13
Beef,0.83333333,0.01571348,2.18,1.59
BeetleFly,0.9,0.0,1.86,1.21
BirdChicken,0.9,0.0,1.9,1.25
CBF,1.0,0.0,1.13,11.35
Car,0.84666667,0.05973191,4.17,3.56
Chinatown,0.98250729,0.0,0.91,1.32
ChlorineConcentration,0.81453125,0.01080567,10.13,58.74
CinCECGTorso,0.83615942,0.00467689,7.24,212.58
Coffee,1.0,0.0,1.5,0.97
Computers,0.7612,0.00597774,18.31,16.89
CricketX,0.81948718,0.00366626,13.34,11.17
CricketY,0.85230769,0.00696463,13.36,11.3
CricketZ,0.85589744,0.00291101,13.62,11.36
Crop,0.75134524,0.00101838,183.88,73.6
DiatomSizeReduction,0.96993464,0.00782496,1.53,10.27
DistalPhalanxOutlineAgeGroup,0.75899281,0.00699155,5.72,1.55
DistalPhalanxOutlineCorrect,0.76956522,0.00874249,8.62,2.62
DistalPhalanxTW,0.71870504,0.00629924,5.78,1.57
DodgerLoopDay,0.5725,0.01290994,3.2,2.51
DodgerLoopGame,0.87318841,0.00704221,1.27,4.05
DodgerLoopWeekend,0.97463768,0.00512396,1.47,4.03
ECG200,0.906,0.00516398,2.08,1.38
ECG5000,0.94715556,0.0005321,9.85,57.88
ECGFiveDays,1.0,0.0,1.28,11.4
EOGHorizontalSignal,0.63895028,0.0088369,43.67,41.66
EOGVerticalSignal,0.54143646,0.00504349,44.21,42.33
Earthquakes,0.74820144,0.0,17.44,7.05
ElectricDevices,0.72941253,0.00333068,392.5,69.8
EthanolLevel,0.5828,0.00605163,84.69,81.73
FaceAll,0.94650888,0.00197633,10.63,20.89
FaceFour,0.97727273,0.0,1.56,3.16
FacesUCR,0.96141463,0.00120479,4.3,24.79
FiftyWords,0.83032967,0.00574987,14.63,12.0
Fish,0.97942857,0.00481871,9.12,7.82
FordA,0.94439394,0.00313782,207.26,61.37
FordB,0.80506173,0.0046358,206.5,37.5
FreezerRegularTrain,0.99761404,0.00036238,5.54,77.65
FreezerSmallTrain,0.94957895,0.00170335,1.85,75.54
Fungi,1.0,0.0,1.19,3.9
GestureMidAirD1,0.71692308,0.00606777,8.69,4.69
GestureMidAirD2,0.66076923,0.00764945,8.51,4.59
GestureMidAirD3,0.41461538,0.01227024,8.56,4.64
GesturePebbleZ1,0.90581395,0.00245138,6.94,7.57
GesturePebbleZ2,0.83037975,0.01067435,7.41,6.86
GunPoint,1.0,0.0,1.58,2.63
GunPointAgeSpan,0.99683544,0.0,3.18,4.81
GunPointMaleVersusFemale,0.99841772,0.00166787,3.17,4.85
GunPointOldVersusYoung,0.99111111,0.00250416,3.25,4.76
Ham,0.72571429,0.02047558,5.49,4.68
HandOutlines,0.94243243,0.00338288,257.71,92.68
Haptics,0.52402597,0.00410685,17.36,32.11
Herring,0.6921875,0.01286363,4.17,3.46
HouseTwenty,0.96386555,0.00405921,8.38,22.33
InlineSkate,0.45690909,0.00374092,18.59,94.75
InsectEPGRegularTrain,1.0,0.0,4.58,14.07
InsectEPGSmallTrain,0.97911647,0.00316791,1.77,14.15
InsectWingbeatSound,0.65681818,0.00154754,6.93,48.26
ItalyPowerDemand,0.96958212,0.00102949,1.11,3.26
LargeKitchenAppliances,0.90053333,0.00436371,27.37,25.52
Lightning2,0.75901639,0.00791879,4.47,3.98
Lightning7,0.82328767,0.00777598,3.28,2.64
Mallat,0.95594883,0.00120699,6.42,221.14
Meat,0.94833333,0.00527046,3.38,2.94
MedicalImages,0.79947368,0.00271788,6.1,7.78
MelbournePedestrian,0.90438704,0.00358373,12.45,6.6
MiddlePhalanxOutlineAgeGroup,0.59025974,0.00777415,5.67,1.68
MiddlePhalanxOutlineCorrect,0.83848797,0.0091638,8.44,2.79
MiddlePhalanxTW,0.56038961,0.00534593,5.82,1.76
MixedShapesRegularTrain,0.97105155,0.00106118,50.47,229.62
MixedShapesSmallTrain,0.9382268,0.00130113,10.69,226.5
MoteStrain,0.91461661,0.00297547,1.17,10.42
NonInvasiveFetalECGThorax1,0.9529771,0.00274788,141.48,135.59
NonInvasiveFetalECGThorax2,0.96905852,0.0014354,140.17,135.84
OSULeaf,0.94090909,0.00340195,9.5,9.99
OliveOil,0.91666667,0.01756821,2.43,1.83
PLAID,0.90260708,0.0029181,70.4,67.78
PhalangesOutlinesCorrect,0.83426573,0.00523539,29.75,7.15
Phoneme,0.27985232,0.00149592,22.35,179.6
PickupGestureWiimoteZ,0.83,0.01054093,2.62,2.04
PigAirwayPressure,0.09519231,0.02074686,20.65,38.46
PigArtPressure,0.95384615,0.00336157,21.16,39.8
PigCVP,0.93413462,0.00324494,20.7,38.49
Plane,1.0,0.0,2.59,1.9
PowerCons,0.94,0.01304209,3.7,2.7
