dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
Adiac,0.78465473,0.00508659,9.85,8.07
ArrowHead,0.80514286,0.01581067,1.68,5.13
Beef,0.83333333,0.0,2.28,1.92
BeetleFly,0.9,0.0,1.56,1.2
BirdChicken,0.9,0.0,1.6,1.22
CBF,0.99988889,0.00035136,1.15,13.47
Car,0.89166667,0.02115493,4.45,4.07
ChlorineConcentration,0.81299479,0.00539376,10.75,69.6
CinCECGTorso,0.83492754,0.00555871,7.76,239.75
Coffee,1.0,0.0,1.56,1.25
Computers,0.76,0.00864099,20.51,19.46
CricketX,0.82230769,0.00580316,14.82,13.13
CricketY,0.85025641,0.0067516,14.67,13.03
CricketZ,0.85769231,0.00848266,14.73,13.03
DiatomSizeReduction,0.97026144,0.00605531,1.28,11.82
DistalPhalanxOutlineAgeGroup,0.75467626,0.00715416,5.98,1.73
DistalPhalanxOutlineCorrect,0.76775362,0.00861645,8.57,3.07
DistalPhalanxTW,0.71870504,0.00227502,5.91,1.72
ECG200,0.906,0.00516398,2.0,1.52
ECG5000,0.94697778,0.0006036,10.47,69.95
ECGFiveDays,1.0,0.0,0.89,13.49
Earthquakes,0.74820144,0.0,19.54,8.07
ElectricDevices,0.73054079,0.00233016,360.51,84.96
FaceAll,0.94751479,0.00263223,11.15,25.13
FaceFour,0.975,0.00479133,1.44,3.54
FacesUCR,0.96160976,0.00051676,4.3,30.42
FiftyWords,0.83054945,0.00522668,15.75,13.83
Fish,0.97885714,0.00895441,9.8,9.08
FordA,0.94492424,0.00283571,227.42,71.57
FordB,0.8062963,0.00608859,229.43,43.74
GunPoint,1.0,0.0,1.57,2.91
Ham,0.72571429,0.01606236,5.95,5.23
HandOutlines,0.94162162,0.0031724,291.68,106.7
Haptics,0.525,0.00460434,19.02,36.08
Herring,0.6859375,0.02010444,4.27,3.87
InlineSkate,0.45818182,0.00492366,20.81,109.95
InsectWingbeatSound,0.65656566,0.00215593,7.71,55.68
ItalyPowerDemand,0.96909621,0.00089304,1.03,4.55
LargeKitchenAppliances,0.9,0.00226623,30.86,29.31
Lightning2,0.76393443,0.00846554,4.82,4.54
Lightning7,0.82191781,0.01118488,3.31,2.97
Mallat,0.95603412,0.0011799,6.77,254.8
Meat,0.945,0.00805076,3.64,3.25
MedicalImages,0.7975,0.00209886,6.96,10.01
MiddlePhalanxOutlineAgeGroup,0.59545455,0.01300504,6.16,1.96
MiddlePhalanxOutlineCorrect,0.84123711,0.00773514,8.53,3.22
MiddlePhalanxTW,0.55584416,0.00547581,5.93,1.88
MoteStrain,0.91421725,0.00279743,1.05,12.94
NonInvasiveFetalECGThorax1,0.95139949,0.00311178,155.17,156.43
NonInvasiveFetalECGThorax2,0.96875318,0.00120429,154.6,156.04
OSULeaf,0.93801653,0.00389591,10.28,11.41
OliveOil,0.92666667,0.01405457,2.58,2.23
PhalangesOutlinesCorrect,0.82995338,0.00486635,31.54,9.22
Phoneme,0.27958861,0.00315918,25.16,208.26
Plane,1.0,0.0,2.59,2.07
ProximalPhalanxOutlineAgeGroup,0.85512195,0.00235632,5.94,2.37
ProximalPhalanxOutlineCorrect,0.89896907,0.00763268,8.56,3.21
ProximalPhalanxTW,0.81609756,0.00652436,5.97,2.39
RefrigerationDevices,0.53466667,0.01112,31.19,29.48
ScreenType,0.4856,0.01435769,30.89,29.18
ShapeletSim,1.0,0.0,1.71,9.96
ShapesAll,0.90816667,0.00199536,36.43,33.63
SmallKitchenAppliances,0.82133333,0.00547948,30.63,29.05
SonyAIBORobotSurface1,0.92412646,0.00343692,0.6,5.45
SonyAIBORobotSurface2,0.91636936,0.00247574,0.92,8.23
StarLightCurves,0.98107091,0.00056212,112.08,863.11
Strawberry,0.98189189,0.00130553,18.57,9.86
SwedishLeaf,0.96592,0.00239109,9.84,9.4
Symbols,0.97457286,0.00048547,1.8,43.67
SyntheticControl,0.997,0.00245955,3.86,2.68
ToeSegmentation1,0.97017544,0.00277393,1.93,7.25
ToeSegmentation2,0.92615385,0.00973009,2.02,5.16
Trace,1.0,0.0,3.9,3.35
TwoLeadECG,0.99912204,0.0,0.77,11.51
TwoPatterns,1.0,0.0,19.33,56.99
UWaveGestureLibraryAll,0.97571189,0.00041617,93.84,357.07
UWaveGestureLibraryX,0.85463428,0.00156298,35.56,122.78
UWaveGestureLibraryY,0.77289224,0.00216747,34.95,121.38
UWaveGestureLibraryZ,0.79165271,0.00155186,35.6,122.8
Wafer,0.99826411,0.00025422,21.66,102.36
Wine,0.80740741,0.01990681,2.17,1.75
WordSynonyms,0.75517241,0.00360464,9.43,19.01
Worms,0.72727273,0.00865801,18.37,7.72
WormsTwoClass,0.7987013,0.01402758,18.36,7.75
Yoga,0.90853333,0.00423449,15.19,136.24
