dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
ACSF1,0.812,0.03521363,15.24,14.23
Adiac,0.76751918,0.01945715,9.14,6.91
AllGestureWiimoteX,0.78042857,0.01256367,16.49,33.09
AllGestureWiimoteY,0.80028571,0.01206182,16.03,32.29
AllGestureWiimoteZ,0.73571429,0.01803247,16.03,32.33
ArrowHead,0.86628571,0.0298993,1.71,4.47
BME,0.996,0.01051748,1.09,2.22
Beef,0.75333333,0.08195151,2.23,1.63
BeetleFly,0.89,0.06992059,1.78,1.18
BirdChicken,0.86,0.06146363,1.71,1.14
CBF,0.99666667,0.00465548,1.26,11.43
Car,0.9,0.04374449,4.15,3.64
Chinatown,0.96676385,0.0077988,0.78,1.33
ChlorineConcentration,0.808125,0.01448784,10.22,60.33
CinCECGTorso,0.85586957,0.03537547,7.45,212.73
Coffee,1.0,0.0,1.63,1.06
Computers,0.8444,0.01106747,18.37,17.01
CricketX,0.83871795,0.01235331,13.52,11.49
CricketY,0.83871795,0.01199325,13.45,11.4
CricketZ,0.85820513,0.01760144,13.33,11.23
Crop,0.75154167,0.00294219,198.73,72.68
DiatomSizeReduction,0.92581699,0.09413744,1.2,10.42
DistalPhalanxOutlineAgeGroup,0.80215827,0.04590933,5.41,1.49
DistalPhalanxOutlineCorrect,0.82463768,0.02051008,8.06,2.59
DistalPhalanxTW,0.70719424,0.01518575,5.63,1.5
DodgerLoopDay,0.5575,0.07317217,3.01,2.57
DodgerLoopGame,0.86376812,0.021002,1.24,4.1
DodgerLoopWeekend,0.97826087,0.01080226,1.25,4.09
ECG200,0.905,0.02415229,2.01,1.33
ECG5000,0.94691111,0.00197224,9.89,59.45
ECGFiveDays,0.99756098,0.00356722,1.24,11.42
EOGHorizontalSignal,0.82265193,0.02138977,44.69,42.4
EOGVerticalSignal,0.78977901,0.01581276,57.36,54.88
Earthquakes,0.74892086,0.00227502,17.2,6.98
ElectricDevices,0.89789911,0.00321117,356.99,67.35
EthanolLevel,0.6292,0.01660522,87.15,83.6
FaceAll,0.98934911,0.00231703,10.09,21.38
FaceFour,0.92613636,0.04615931,1.44,3.21
FacesUCR,0.97258537,0.00645018,4.42,25.9
FiftyWords,0.82461538,0.00859363,14.26,11.78
Fish,0.97771429,0.01358938,8.89,7.88
FordA,0.94106061,0.00503533,202.67,61.08
